filename,FaceOcclusion,gender,source_a,source_b,alpha,label_a,label_b,source_blend
data/synthetic/blend_v3_refined/images/refined_000000.webp,0.474631,0.0,database3/database3/m.01wcpdn/99-FaceId-0_align.webp,database3/database3/m.013bym/49-FaceId-0_align.webp,0.6395,0.485094,0.468732,data/synthetic/blend_v3/images/blend_000000.webp
data/synthetic/blend_v3_refined/images/refined_000001.webp,0.492127,0.0,database2/database2/train/899.webp,database3/database3/m.027ykbv/43-FaceId-0_align.webp,0.6572,0.460891,0.508419,data/synthetic/blend_v3/images/blend_000001.webp
data/synthetic/blend_v3_refined/images/refined_000002.webp,0.559157,1.0,database3/database3/m.017m44/19-FaceId-0_align.webp,database3/database3/m.0256sx/61-FaceId-0_align.webp,0.6288,0.607897,0.530381,data/synthetic/blend_v3/images/blend_000002.webp
data/synthetic/blend_v3_refined/images/refined_000004.webp,0.467073,0.0,database3/database3/m.013bym/49-FaceId-0_align.webp,database1/img00029247.webp,0.5709,0.468732,0.465826,data/synthetic/blend_v3/images/blend_000004.webp
data/synthetic/blend_v3_refined/images/refined_000005.webp,0.478151,0.0,database3/database3/m.027ykbv/43-FaceId-0_align.webp,database3/database3/m.01x72k/23-FaceId-0_align.webp,0.5389,0.508419,0.452255,data/synthetic/blend_v3/images/blend_000005.webp
data/synthetic/blend_v3_refined/images/refined_000006.webp,0.542333,1.0,database3/database3/m.026nflj/116-FaceId-1_align.webp,database3/database3/m.01jh24l/20-FaceId-0_align.webp,0.649,0.615254,0.502887,data/synthetic/blend_v3/images/blend_000006.webp
data/synthetic/blend_v3_refined/images/refined_000007.webp,0.521704,1.0,database3/database3/m.023c9m/33-FaceId-0_align.webp,database3/database3/m.0266wpt/31-FaceId-0_align.webp,0.5939,0.546029,0.505071,data/synthetic/blend_v3/images/blend_000007.webp
data/synthetic/blend_v3_refined/images/refined_000009.webp,0.463681,0.0,database3/database3/m.01kfj9y/13-FaceId-0_align.webp,database3/database3/m.013bym/49-FaceId-0_align.webp,0.5625,0.457187,0.468732,data/synthetic/blend_v3/images/blend_000009.webp
data/synthetic/blend_v3_refined/images/refined_000010.webp,0.477441,0.0,database3/database3/m.01mp6x1/20-FaceId-0_align.webp,database3/database3/m.01qj2k7/46-FaceId-0_align.webp,0.6365,0.523604,0.451078,data/synthetic/blend_v3/images/blend_000010.webp
data/synthetic/blend_v3_refined/images/refined_000012.webp,0.493571,1.0,database3/database3/m.01m98bv/89-FaceId-0_align.webp,database2/database2/train/988.webp,0.6137,0.517148,0.478734,data/synthetic/blend_v3/images/blend_000012.webp
data/synthetic/blend_v3_refined/images/refined_000016.webp,0.517287,0.0,database3/database3/m.026_czg/12-FaceId-0_align.webp,database1/img00013156.webp,0.5563,0.458619,0.564084,data/synthetic/blend_v3/images/blend_000016.webp
data/synthetic/blend_v3_refined/images/refined_000019.webp,0.484505,1.0,database3/database3/m.01wkmh5/89-FaceId-1_align.webp,database3/database3/m.01jh24l/20-FaceId-0_align.webp,0.5323,0.463588,0.502887,data/synthetic/blend_v3/images/blend_000019.webp
data/synthetic/blend_v3_refined/images/refined_000020.webp,0.502074,1.0,database3/database3/m.01wkmh5/89-FaceId-1_align.webp,database3/database3/m.0256sx/61-FaceId-0_align.webp,0.5762,0.463588,0.530381,data/synthetic/blend_v3/images/blend_000020.webp
data/synthetic/blend_v3_refined/images/refined_000022.webp,0.484398,0.0,database3/database3/m.01vb56z/47-FaceId-0_align.webp,database3/database3/m.01mlmtw/76-FaceId-0_align.webp,0.5532,0.469615,0.496339,data/synthetic/blend_v3/images/blend_000022.webp
data/synthetic/blend_v3_refined/images/refined_000023.webp,0.46026,0.0,database3/database3/m.01x72k/23-FaceId-0_align.webp,database1/img00029247.webp,0.5899,0.452255,0.465826,data/synthetic/blend_v3/images/blend_000023.webp
data/synthetic/blend_v3_refined/images/refined_000024.webp,0.504784,1.0,database3/database3/m.023c9m/33-FaceId-0_align.webp,database3/database3/m.01pbxyc/80-FaceId-0_align.webp,0.5405,0.546029,0.469716,data/synthetic/blend_v3/images/blend_000024.webp
data/synthetic/blend_v3_refined/images/refined_000029.webp,0.527155,0.0,database3/database3/m.01qtj67/97-FaceId-0_align.webp,database3/database3/m.02khqq/78-FaceId-0_align.webp,0.5694,0.516313,0.535355,data/synthetic/blend_v3/images/blend_000029.webp
data/synthetic/blend_v3_refined/images/refined_000030.webp,0.501915,1.0,database3/database3/m.01wqfb1/57-FaceId-0_align.webp,database3/database3/m.01jh24l/20-FaceId-0_align.webp,0.6565,0.500056,0.502887,data/synthetic/blend_v3/images/blend_000030.webp
data/synthetic/blend_v3_refined/images/refined_000031.webp,0.464214,1.0,database3/database3/m.01wkmh5/89-FaceId-1_align.webp,database3/database3/m.027jv8/2-FaceId-0_align.webp,0.6876,0.463588,0.464498,data/synthetic/blend_v3/images/blend_000031.webp
data/synthetic/blend_v3_refined/images/refined_000032.webp,0.501941,1.0,database2/database2/train/988.webp,database3/database3/m.01m98bv/89-FaceId-0_align.webp,0.6041,0.478734,0.517148,data/synthetic/blend_v3/images/blend_000032.webp
data/synthetic/blend_v3_refined/images/refined_000037.webp,0.532068,0.0,database3/database3/m.01598m/79-FaceId-0_align.webp,database3/database3/m.027jkhc/103-FaceId-0_align.webp,0.6906,0.475474,0.557426,data/synthetic/blend_v3/images/blend_000037.webp
data/synthetic/blend_v3_refined/images/refined_000039.webp,0.533803,1.0,database3/database3/m.023c9m/33-FaceId-0_align.webp,database3/database3/m.01wkmh5/73-FaceId-1_align.webp,0.6783,0.546029,0.528005,data/synthetic/blend_v3/images/blend_000039.webp
data/synthetic/blend_v3_refined/images/refined_000040.webp,0.462616,0.0,database3/database3/m.01vb56z/47-FaceId-0_align.webp,database3/database3/m.01kfj9y/13-FaceId-0_align.webp,0.5632,0.469615,0.457187,data/synthetic/blend_v3/images/blend_000040.webp
data/synthetic/blend_v3_refined/images/refined_000041.webp,0.545235,1.0,database3/database3/m.01pbxyc/80-FaceId-0_align.webp,database3/database3/m.026nflj/116-FaceId-1_align.webp,0.5189,0.469716,0.615254,data/synthetic/blend_v3/images/blend_000041.webp
data/synthetic/blend_v3_refined/images/refined_000043.webp,0.543285,1.0,database3/database3/m.025_8wn/36-FaceId-0_align.webp,database3/database3/m.026qq00/34-FaceId-2_align.webp,0.6199,0.469008,0.588833,data/synthetic/blend_v3/images/blend_000043.webp
data/synthetic/blend_v3_refined/images/refined_000044.webp,0.481297,1.0,database3/database3/m.01m98bv/89-FaceId-0_align.webp,database2/database2/test/91.webp,0.6944,0.517148,0.465517,data/synthetic/blend_v3/images/blend_000044.webp
data/synthetic/blend_v3_refined/images/refined_000047.webp,0.507647,1.0,database3/database3/m.0256sx/61-FaceId-0_align.webp,database3/database3/m.01l20ql/51-FaceId-0_align.webp,0.6431,0.530381,0.495029,data/synthetic/blend_v3/images/blend_000047.webp
data/synthetic/blend_v3_refined/images/refined_000049.webp,0.617078,1.0,database3/database3/m.01y_15/49-FaceId-0_align.webp,database3/database3/m.026nflj/116-FaceId-1_align.webp,0.6911,0.621159,0.615254,data/synthetic/blend_v3/images/blend_000049.webp
data/synthetic/blend_v3_refined/images/refined_000050.webp,0.500263,0.0,database3/database3/m.02jkzb/35-FaceId-0_align.webp,database3/database3/m.01m91d3/74-FaceId-0_align.webp,0.6268,0.476457,0.514438,data/synthetic/blend_v3/images/blend_000050.webp
data/synthetic/blend_v3_refined/images/refined_000051.webp,0.458998,1.0,database3/database3/m.025_8wn/36-FaceId-0_align.webp,database3/database3/m.01vhmlf/73-FaceId-0_align.webp,0.6932,0.469008,0.454568,data/synthetic/blend_v3/images/blend_000051.webp
data/synthetic/blend_v3_refined/images/refined_000052.webp,0.513628,0.0,database3/database3/m.01mp6x1/20-FaceId-0_align.webp,database3/database3/m.027ykbv/43-FaceId-0_align.webp,0.657,0.523604,0.508419,data/synthetic/blend_v3/images/blend_000052.webp
